Player,Age,G,MP,eFG%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PTS
Jonathan Bender\bendejo01,19,24,5.4,0.343,0.7,1,0.667,0.9,0.1,0,0.2,0.3,2.7
Al Harrington\harrial01,19,50,17.1,0.473,1.6,2.2,0.703,3.2,0.8,0.5,0.2,1.3,6.6
Bruno Šundov\sundobr01,19,14,4.4,0.387,0.1,0.1,1,0.9,0.1,0.1,0.1,0.3,1.9
William Avery\averywi01,20,59,8.2,0.359,0.4,0.6,0.667,0.7,1.5,0.2,0,0.7,2.6
Elton Brand\brandel01,20,81,37,0.482,4.5,6.6,0.685,10,1.9,0.8,1.6,2.8,20.1
Baron Davis\davisba01,20,82,18.6,0.449,1.2,1.9,0.634,2,3.8,1.2,0.2,1.7,5.9
Ricky Davis\davisri01,20,48,11.9,0.503,0.8,1.1,0.765,1.7,1.3,0.6,0.2,1,4.7
Jumaine Jones\jonesju01,20,33,4.2,0.397,0.3,0.5,0.611,1.2,0.2,0.2,0.2,0.4,1.7
Rashard Lewis\lewisra02,20,82,19.2,0.521,1,1.5,0.683,4.1,0.9,0.8,0.4,1,8.2
Corey Maggette\maggeco01,20,77,17.8,0.48,2.5,3.4,0.751,3.9,0.8,0.3,0.3,1.8,8.4
Tracy McGrady*\mcgratr01,20,79,31.2,0.46,3.5,5,0.707,6.3,3.3,1.1,1.9,2,15.4
Lamar Odom\odomla01,20,76,36.4,0.467,4,5.5,0.719,7.8,4.2,1.2,1.3,3.4,16.6
Metta World Peace\artesro01,20,72,31.1,0.447,2.6,3.9,0.674,4.3,2.8,1.7,0.5,2.3,12
Corey Benjamin\benjaco01,21,48,18,0.459,1,1.7,0.598,1.8,1.1,0.6,0.5,1.5,7.7
Mike Bibby\bibbymi01,21,82,38.5,0.483,2.4,3,0.78,3.7,8.1,1.6,0.2,3,14.5
Kobe Bryant*\bryanko01,21,66,38.2,0.488,5,6.1,0.821,6.3,4.9,1.6,0.9,2.8,22.5
Dion Glover\glovedi01,21,30,14.9,0.421,1.7,2.3,0.729,1.3,0.9,0.5,0.1,0.9,6.5
Richard Hamilton\hamilri01,21,71,19.3,0.443,1.5,1.9,0.774,1.8,1.5,0.4,0.1,1.2,9
Larry Hughes\hughela01,21,82,28.3,0.413,3.4,4.6,0.74,4.3,2.5,1.4,0.3,2.4,15
Shawn Marion\mariosh01,21,51,24.7,0.476,1.4,1.7,0.847,6.5,1.4,0.7,1,1,10.2
Dirk Nowitzki\nowitdi01,21,82,35.8,0.513,3.5,4.2,0.83,6.5,2.5,0.8,0.8,1.7,17.5
Jermaine O'Neal\onealje01,21,70,12.3,0.486,0.8,1.4,0.582,3.3,0.3,0.2,0.8,0.7,3.9
Milt Palacio\palacmi01,21,53,7.4,0.439,0.4,0.7,0.595,1,0.9,0.4,0,0.8,2
Cal Bowdler\bowdlca01,22,46,9.2,0.426,0.5,0.8,0.632,1.8,0.3,0.3,0.2,0.5,2.7
Rodney Buford\buforro01,22,34,11.4,0.434,0.5,0.6,0.727,1.4,0.6,0.3,0.2,0.3,4.3
John Celestand\celesjo01,22,16,11.6,0.356,0.3,0.4,0.833,0.7,1.3,0.4,0,1,2.3
Michael Doleac\doleami01,22,81,16.5,0.453,1,1.2,0.842,4.1,0.8,0.4,0.4,0.8,7
Steve Francis\francst01,22,77,36.1,0.493,3.7,4.7,0.786,5.3,6.6,1.5,0.4,4,18
Devean George\georgde01,22,49,7,0.444,0.6,0.8,0.659,1.5,0.2,0.2,0.1,0.4,3.2
Lari Ketner\ketnela01,22,22,6,0.406,0.4,0.5,0.667,1.5,0,0.2,0.1,0.5,1.5
Quincy Lewis\lewisqu01,22,74,12.1,0.411,0.5,0.7,0.731,1.5,0.5,0.3,0.2,0.6,3.8
Tyronn Lue\luety01,22,8,18.3,0.538,0.8,1,0.75,1.5,2.1,0.4,0,1.1,6
Stephon Marbury\marbust01,22,74,38.9,0.457,5.9,7.2,0.813,3.2,8.4,1.5,0.2,3.6,22.2
Jelani McCoy\mccoyje01,22,58,12.9,0.576,0.8,1.6,0.495,3.1,0.4,0.3,0.8,0.8,4.3
Nazr Mohammed\mohamna01,22,28,6.8,0.389,0.4,0.8,0.545,1.8,0.1,0.1,0.4,0.6,1.9
Paul Pierce\piercpa01,22,73,35.4,0.486,4.9,6.2,0.798,5.4,3,2.1,0.8,2.4,19.5
Laron Profit\profila01,22,33,6.8,0.381,0.1,0.3,0.4,0.8,0.8,0.2,0.1,0.6,1.5
Peja Stojaković\stojape01,22,74,23.6,0.517,1.8,2.1,0.882,3.7,1.4,0.7,0.1,1.2,11.9
Wally Szczerbiak\szczewa02,22,73,29.7,0.532,1.8,2.2,0.826,3.7,2.8,0.8,0.3,1.1,11.6
Jason Terry\terryja01,22,81,23.3,0.453,1.4,1.7,0.807,2,4.3,1.1,0.1,1.9,8.1
Kenny Thomas\thomake01,22,72,25,0.429,1.9,2.9,0.66,6.1,1.6,0.8,0.3,1.6,8.3
Tim Thomas\thomati01,22,80,26.2,0.503,2.4,3,0.774,4.2,1.4,0.7,0.4,1.6,11.8
Robert Traylor\traylro01,22,44,10.2,0.475,0.9,1.5,0.603,2.6,0.5,0.6,0.6,0.6,3.6
Shareef Abdur-Rahim\abdursh01,23,82,39.3,0.477,5.4,6.7,0.809,10.1,3.3,1.1,1.1,3,20.3
Rafer Alston\alstora01,23,27,13.4,0.3,0.1,0.1,0.75,0.9,2.6,0.4,0,1.1,2.2
Tony Battie\battito01,23,82,18.4,0.478,1.2,1.8,0.675,5,0.8,0.6,0.9,0.8,6.6
Chauncey Billups\billuch01,23,13,23.5,0.371,2.8,3.4,0.841,2.6,3,0.8,0.2,1.8,8.6
Calvin Booth\boothca01,23,11,13,0.348,0.9,1.3,0.714,2.9,0.6,0.3,1.3,0.5,3.8
Earl Boykins\boykiea01,23,26,10,0.517,0.7,0.9,0.783,1,1.8,0.5,0,0.7,5.3
A.J. Bramlett\bramlaj01,23,8,7.6,0.19,0,0,,2.8,0,0.1,0,0.4,1
Greg Buckner\buckngr01,23,48,19.2,0.498,0.9,1.3,0.683,3.6,1.1,0.8,0.4,0.8,5.7
Vince Carter\cartevi01,23,82,38.1,0.493,5.3,6.7,0.791,5.8,3.9,1.3,1.1,2.2,25.7
Keith Closs\closske01,23,57,14.4,0.487,0.8,1.4,0.59,3.1,0.4,0.2,1.3,0.6,4.2
Vonteego Cummings\cummivo01,23,75,23.9,0.442,1.7,2.3,0.751,2.5,3.3,1.2,0.2,1.8,9.4
Tim Duncan*\duncati01,23,74,38.9,0.491,6.2,8.1,0.761,12.4,3.2,0.9,2.2,3.3,23.2
Danny Fortson\fortsda01,23,55,15.6,0.528,2.5,3.4,0.735,6.7,0.5,0.4,0.1,1.2,7.6
Jeff Foster\fosteje01,23,19,4.5,0.565,0.9,1.3,0.68,1.7,0.3,0.3,0.1,0.1,2.3
Kevin Garnett*\garneke01,23,81,40,0.507,3.8,5,0.765,11.8,5,1.5,1.6,3.3,22.9
Pat Garrity\garripa01,23,82,18,0.509,1,1.4,0.721,2.6,0.7,0.4,0.2,1,8.2
Matt Harpring\harprma01,23,4,15.8,0.294,1.5,1.8,0.857,3,2,1.3,0.3,0.3,4
Derek Hood\hoodde01,23,2,2,0,0,0,,0.5,0,0,0,0,0
Troy Hudson\hudsotr01,23,62,25.7,0.433,1.2,1.5,0.811,2.4,3.9,0.7,0,1.7,8.8
Jermaine Jackson\jacksje01,23,7,10.4,0.091,0.7,1.1,0.625,1.6,0.6,0.4,0,1,1
Tim James\jamesti01,23,4,5.8,0.357,0.3,0.8,0.333,1,0.5,0,0.8,0.5,2.8
Antawn Jamison\jamisan01,23,43,36.2,0.472,3,4.8,0.611,8.3,2.1,0.7,0.3,2.6,19.6
Harold Jamison\jamisha01,23,12,6.2,0.35,0.3,1.5,0.222,1.8,0.3,0.2,0.1,0.3,1.5
Damon Jones\jonesda01,23,55,11.1,0.483,0.6,0.9,0.667,1,1.7,0.3,0,0.7,4.2
Raef LaFrentz\lafrera01,23,81,30.1,0.48,2,2.9,0.686,7.9,1.2,0.5,2.2,1.2,12.4
Trajan Langdon\langdtr01,23,10,14.5,0.475,1.1,1.1,1,1.5,1.1,0.5,0,0.6,4.9
Ron Mercer\mercero01,23,68,35,0.433,3.1,4,0.789,3.7,2.3,1.1,0.3,2.2,16.9
Andre Miller\millean02,23,82,25.5,0.456,2.8,3.6,0.774,3.4,5.8,1,0.2,2,11.1
Brad Miller\millebr01,23,55,17.5,0.461,2.8,3.5,0.785,5.3,0.8,0.4,0.6,0.9,7.7
Rasho Nesterović\nestera01,23,82,21,0.476,0.7,1.3,0.573,4.6,1.1,0.3,1,0.9,5.7
Scott Padgett\padgesc01,23,47,9.2,0.361,0.4,0.6,0.704,1.9,0.5,0.3,0.2,0.5,2.6
James Posey\poseyja01,23,81,25.3,0.506,1.5,1.9,0.8,3.9,1.8,1.2,0.4,1.2,8.2
Aleksandar Radojević\radojal01,23,3,8,0.286,1,2,0.5,2.7,0.3,0.7,0.3,1.7,2.3
Ryan Robertson\roberry01,23,1,25,0.333,1,1,1,0,0,0,0,0,5
Eddie Robinson\robined01,23,67,16.6,0.549,0.7,1,0.734,2.7,0.5,0.7,0.4,0.6,7
Michael Ruffin\ruffimi01,23,71,13.7,0.42,0.6,1.2,0.489,3.5,0.6,0.4,0.4,0.8,2.2
Brian Skinner\skinnbr01,23,33,23.5,0.507,1.3,2,0.662,6.1,0.3,0.5,1.3,1.1,5.4
Vladimir Stepania\stepavl01,23,30,6.7,0.367,0.6,1.2,0.472,1.6,0.1,0.3,0.4,0.7,2.5
Maurice Taylor\tayloma01,23,62,35.9,0.464,2.3,3.2,0.711,6.5,1.6,0.8,0.8,2.7,17.1
Mirsad Türkcan\turkcmi01,23,17,5.3,0.368,0.3,0.5,0.625,1.9,0.3,0.2,0.1,0.5,1.9
Wayne Turner\turnewa01,23,3,13.7,0.167,0.7,2,0.333,1,1.7,0,0,1,1.3
Antoine Walker\walkean02,23,82,36.6,0.455,3.8,5.4,0.699,8,3.7,1.4,0.4,3.2,20.5
Samaki Walker\walkesa01,23,71,13.8,0.449,1.2,1.8,0.683,3.8,0.5,0.1,0.5,0.9,5.1
Bonzi Wells\wellsbo01,23,66,17.6,0.513,1.3,2,0.682,2.8,1.5,1,0.2,1.5,8.8
Jahidi White\whiteja01,23,80,19.2,0.507,1.4,2.6,0.536,6.9,0.2,0.4,1,1.2,7.1
Tim Young\youngti01,23,25,5.5,0.333,1.1,1.4,0.778,1.4,0.2,0.1,0,0.4,2.2
Ray Allen*\allenra02,24,82,37.4,0.516,4.3,4.9,0.887,4.4,3.8,1.3,0.2,2.2,22.1
Toby Bailey\baileto01,24,46,9.8,0.421,1,1.4,0.692,1.6,0.7,0.3,0.1,0.5,3.5
Ryan Bowen\bowenry01,24,52,11.3,0.397,0.7,1,0.717,2.2,0.4,0.8,0.3,0.3,2.5
Anthony Carter\cartean01,24,79,23.5,0.398,1.2,1.6,0.75,2.5,4.8,1.2,0.1,2.2,6.3
Keon Clark\clarkke01,24,81,22.8,0.543,1.5,2.2,0.688,6.2,0.9,0.6,1.4,1.5,8.6
Chris Crawford\crawfch01,24,55,12.1,0.413,1.1,1.5,0.778,1.8,0.6,0.3,0.3,0.7,4.6
Austin Croshere\croshau01,24,81,23.3,0.489,2.4,2.9,0.848,6.4,1.1,0.5,0.7,1.5,10.3
Erick Dampier\dampier01,24,21,23.6,0.405,1.3,2.4,0.529,6.4,0.9,0.4,0.7,1.4,8
Antonio Daniels\daniean01,24,68,17.6,0.506,1.1,1.5,0.713,1.3,2.6,0.8,0.1,0.9,6.2
Derrick Dial\dialde01,24,8,11.9,0.402,0.4,0.6,0.6,3.3,0.6,0.1,0.1,0.8,5
Michael Dickerson\dickemi01,24,82,37.8,0.483,3.3,4,0.83,3.4,2.5,1.4,0.5,2,18.2
Obinna Ekezie\ekeziob01,24,39,9,0.466,1.1,1.6,0.672,2.4,0.2,0.2,0.1,0.7,3.2
Evan Eschmeyer\eschmev01,24,31,12,0.528,0.5,1,0.5,3.5,0.7,0.3,0.7,0.7,2.9
Adonal Foyle\foylead01,24,76,21.8,0.508,0.4,1.2,0.378,5.6,0.6,0.3,1.8,0.9,5.5
Thomas Hamilton\hamilth01,24,22,12.4,0.443,0.5,1,0.522,4.1,0.7,0.2,0.6,1.3,3.7
Cedric Henderson\hendece02,24,61,18.1,0.397,1.1,1.7,0.663,2.3,0.9,0.6,0.3,1.1,5.4
Chris Herren\herrech01,24,45,13.3,0.46,0.6,0.9,0.675,1.2,2.5,0.3,0,0.9,3.1
Allen Iverson*\iversal01,24,70,40.8,0.446,6.3,8.9,0.713,3.8,4.7,2.1,0.1,3.3,28.4
Randell Jackson\jacksra02,24,1,1,,0,0,,0,0,0,0,0,0
Sam Jacobson\jacobsa01,24,52,13.1,0.531,0.6,0.8,0.732,1.4,0.6,0.6,0.1,0.6,4.9
DeMarco Johnson\johnsde02,24,5,7.4,0.333,0,0,,1.4,0,0.2,0,0.6,1.2
Charles Jones\jonesch03,24,56,11.8,0.425,0.3,0.4,0.739,1.1,1.7,0.5,0.1,0.5,3.4
Brevin Knight\knighbr01,24,65,27,0.414,2.2,2.8,0.761,3,7,1.6,0.3,2.4,9.3
Randy Livingston\livinra01,24,79,13.7,0.441,0.7,0.8,0.839,1.6,2.2,0.6,0.2,1.2,4.8
Todd MacCulloch\maccuto01,24,56,9.4,0.553,0.5,1,0.519,2.6,0.2,0.2,0.7,0.5,3.7
Sean Marks\marksse01,24,5,2.4,0.333,0.8,0.8,1,0.4,0,0.2,0.2,0.6,1.6
Roshown McLeod\mcleoro01,24,44,19.5,0.398,1.2,1.6,0.771,3.1,1.2,0.4,0.1,1.3,7.2
Jason Miskiri\miskija01,24,1,3,0,0,0,,0,1,0,0,0,0
Cuttino Mobley\moblecu01,24,81,30.8,0.481,3.7,4.4,0.847,3.6,2.6,1.1,0.4,2.3,15.8
Mikki Moore\mooremi01,24,29,16.8,0.621,1.9,2.3,0.794,3.9,0.6,0.3,1.1,0.8,7.9
Tyrone Nesby\nesbyty01,24,73,31.7,0.449,2.1,2.6,0.791,3.8,1.7,1,0.4,1.4,13.3
Michael Olowokandi\olowomi01,24,80,31.2,0.437,1.5,2.4,0.651,8.2,0.5,0.4,1.8,2.2,9.8
Anthony Parker\parkean01,24,16,11.6,0.43,0.5,0.7,0.727,1.7,0.6,0.5,0.3,0.7,3.6
Andrae Patterson\pattean01,24,5,4,0.75,0,0,,0.4,0.2,0.2,0,0.2,1.2
Ruben Patterson\patteru01,24,81,25.9,0.545,2.7,4,0.692,5.4,1.6,1.2,0.5,1.8,11.6
Scot Pollard\pollasc01,24,76,17.6,0.527,1.5,2.1,0.717,5.3,0.6,0.7,0.8,0.7,5.4
Vitaly Potapenko\potapvi01,24,79,22.7,0.499,1.4,2,0.681,6.3,1,0.5,0.4,1.8,9.2
Joe Smith\smithjo02,24,78,25.3,0.465,2.5,3.3,0.756,6.2,1.1,0.6,1.1,1.5,9.9
Ryan Stack\stackry01,24,25,7.9,0.333,0.7,1.1,0.667,1.8,0.2,0.2,0.4,0.7,2.1
Michael Stewart\stewami01,24,42,9.3,0.377,0.4,0.8,0.563,2.2,0.1,0.1,0.5,0.4,1.4
John Thomas\thomajo02,24,55,8.7,0.458,0.3,0.7,0.39,1.4,0.2,0.2,0.3,0.3,2.1
Keith Van Horn\vanhoke01,24,80,34.8,0.478,4.2,4.9,0.847,8.5,2,0.8,0.8,3.1,19.2
Jacque Vaughn\vaughja01,24,78,11.3,0.443,0.7,1,0.75,0.8,1.6,0.4,0,1,3.7
Jason Williams\willija02,24,81,34.1,0.448,1.6,2.1,0.753,2.8,7.3,1.4,0.1,3.7,12.3
Shammond Williams\willish01,24,43,12,0.427,0.8,1.2,0.647,1.2,1.8,0.4,0,0.9,5.2
Lorenzen Wright\wrighlo02,24,75,16.1,0.5,1.2,1.8,0.644,4.1,0.3,0.4,0.5,0.9,6
Tariq Abdul-Wahad\abdulta01,25,61,25.9,0.426,2.4,3.2,0.756,4.8,1.6,1,0.5,1.7,11.4
Derek Anderson\anderde01,25,64,34.4,0.47,4.2,4.8,0.877,4,3.4,1.4,0.2,2.6,16.9
Chris Anstey\anstech01,25,73,13.8,0.444,1.6,2,0.789,3.8,0.9,0.4,0.3,1.1,6
Chucky Atkins\atkinch01,25,82,19.8,0.462,1.2,1.6,0.729,1.5,3.7,0.6,0,1.7,9.5
Marcus Brown\brownma01,25,6,7.5,0.286,0.3,0.3,1,1.2,0.5,0,0,0.5,1.7
Marcus Camby\cambyma01,25,59,26.2,0.481,2.5,3.7,0.67,7.8,0.8,0.7,2,1.2,10.2
Chris Carr\carrch01,25,57,20.5,0.427,1.9,2.2,0.856,3,1.5,0.5,0.3,2.1,9.3
Kelvin Cato\catoke01,25,65,24.3,0.537,2.1,3.2,0.649,6,0.4,0.5,1.9,1.1,8.7
Bryce Drew\drewbr01,25,72,18,0.454,0.6,0.7,0.849,1.4,2.3,0.6,0,0.9,5.8
Jamie Feick\feickja01,25,81,27.7,0.431,1.2,1.6,0.707,9.3,0.8,0.5,0.5,0.7,5.7
Derek Fisher\fishede01,25,78,23.1,0.4,1.3,1.9,0.724,1.8,2.8,1,0,1,6.3
Todd Fuller\fulleto02,25,41,9.7,0.418,0.8,1.3,0.604,2.7,0.1,0.2,0.2,0.7,3.3
Kiwane Lemorris Garris\garriki01,25,3,7.7,0.2,0,0,,0.3,0.7,0,0,0.3,1.3
